url,title,price,bike_year,mileage,localisation,brand,model,engine_size
https://www.leboncoin.fr/motos/1999581939.htm?ac=4051296304, 1200 gs,13500.0,2016,26953,Saint-Cloud 92210,bmw,r1200gs,1170.0
https://www.leboncoin.fr/motos/1959205976.htm?ac=4051296304, r1200 gs,13490.0,2016,42500,La Chapelle-Saint-Luc 10600,bmw,r1200gs,1170.0
https://www.leboncoin.fr/motos/1998623991.htm?ac=4051296304, r 1200 gs 3 packs artic white,13800.0,2016,21900,Saint-Julien-en-Genevois 74160,bmw,r1200gs,1170.0
https://www.leboncoin.fr/motos/1978823676.htm?ac=4051296304, r 1200 gs 1170 ,13490.0,2016,49720,Nice 06200,bmw,r1200gs,1170.0
https://www.leboncoin.fr/motos/1994301406.htm?ac=4051296304, r 1200 gs abs,13500.0,2016,35200,Gap 05000,bmw,r1200gs,1170.0
https://www.leboncoin.fr/motos/2000178122.htm?ac=4051296304, agility 50cc,750.0,2007,25000,Lyon 69002,kymco,agility50,49.5
https://www.leboncoin.fr/motos/2000177473.htm?ac=4051296304,300 2t factory ,7290.0,2020,5180,Andrézieux-Bouthéon 42160,sherco,300stfactory,294.0
https://www.leboncoin.fr/motos/2000177197.htm?ac=4051296304, neos easy,1600.0,2016,12500,Besançon 25000,yamaha,neoseasy,49.2
https://www.leboncoin.fr/motos/2000176686.htm?ac=4051296304, satelis 125,2000.0,2006,6000,Grenoble 38000,peugeot,satelis125,124.8
https://www.leboncoin.fr/motos/2000174818.htm?ac=4051296304, xmax 125 xmax 125 1000 07 5500 euro,5500.0,2021,999,Antibes 06600,yamaha,nmax125,125.0
https://www.leboncoin.fr/motos/2000174697.htm?ac=4051296304, zx10r,6800.0,2010,20000,Clères 76690,kawasaki,ninjazx10r,998.0
https://www.leboncoin.fr/motos/1998020467.htm?ac=4051296304, zx10r,7500.0,2010,32500,Le Barcarès 66420,kawasaki,ninjazx10r,998.0
https://www.leboncoin.fr/motos/2000174356.htm?ac=4051296304, monster 1100evo année ,9390.0,2011,22000,Marseille 13011 11e Arrondissement,ducati,monster1100evo,1078.0
https://www.leboncoin.fr/motos/1999362801.htm?ac=4051296304, monster 1100 evo,7499.0,2011,29999,Saint-Maurice-sur-Eygues 26110,ducati,monster1100evo,1078.0
https://www.leboncoin.fr/motos/1998098042.htm?ac=4051296304, monster 1100 evo,6990.0,2011,18750,Charlieu 42190,ducati,monster1100evo,1078.0
https://www.leboncoin.fr/motos/1997075160.htm?ac=4051296304, monster 1100 evo,8190.0,2011,21600,Narbonne 11100,ducati,monster1100evo,1078.0
https://www.leboncoin.fr/motos/1977587770.htm?ac=4051296304, monster,10500.0,2011,17000,La Teste-de-Buch 33260,ducati,monster1100evo,1078.0
https://www.leboncoin.fr/motos/1992926639.htm?ac=4051296304, monster 1100 evo,4900.0,2011,71000,Grenoble 38000,ducati,monster1100evo,1078.0
https://www.leboncoin.fr/motos/1983044511.htm?ac=4051296304, monster 1100 evo,7900.0,2011,30540,Nancy 54000,ducati,monster1100evo,1078.0
https://www.leboncoin.fr/motos/2000174006.htm?ac=4051296304, panigale v4 speciale 1100,40000.0,2018,6500,Nogent-sur-Marne 94130,ducati,panigalev4speciale,1103.0
https://www.leboncoin.fr/motos/1995676641.htm?ac=4051296304, panigale speciale v4 2 ,37000.0,2018,2,Bourgoin-Jallieu 38300,ducati,panigalev4speciale,1103.0
https://www.leboncoin.fr/motos/2000174008.htm?ac=4051296304, lx 50,2000.0,2008,15600,Cannes 06400,vespa,lx50,49.4
https://www.leboncoin.fr/motos/2000355052.htm?ac=4051296304, mt09 tracer 847 ,7290.0,2016,20000,Rennes 35000,yamaha,mt09,847.0
https://www.leboncoin.fr/motos/2000830412.htm?ac=4051296304, mt09 tracer 847 8ch 1ère 11794,8500.0,2016,11794,Bavans 25550,yamaha,mt09,847.0
https://www.leboncoin.fr/motos/2000172652.htm?ac=4051296304, xmax 125cc,1900.0,2015,47000,Margencel 74200 Revachaux,yamaha,xmax125,124.7
https://www.leboncoin.fr/motos/2000172641.htm?ac=4051296304, tring street glide special 114,28990.0,2020,2060,Puilboreau 17138 Beaulieu,harleydavidson,streetglide,1746.0
https://www.leboncoin.fr/motos/1996873791.htm?ac=4051296304, street glide spécial 114,29950.0,2020,4600,Le Mans 72100 Sud,harleydavidson,streetglide,1746.0
https://www.leboncoin.fr/motos/1962348116.htm?ac=4051296304, dirt track 650,4400.0,2019,1,Cosne-Cours-sur-Loire 58200 Villechaud,mash,dirttrack650,643.7
https://www.leboncoin.fr/motos/1965915736.htm?ac=4051296304, xj650 4k0 de custom ofessionnel,2600.0,1981,49000,Toulouse 31000 Capitole,yamaha,xj650,653.0
https://www.leboncoin.fr/motos/1989708560.htm?ac=4051296304, beverly,3800.0,2013,7450,Saint-Denis 97400,piaggio,beverlysporttouring,278.0
https://www.leboncoin.fr/motos/2000366668.htm?ac=4051296304,z750 ,2300.0,2006,54000,Poggio-d'Oletta 20232,kawasaki,z750,675.0
https://www.leboncoin.fr/motos/2000123987.htm?ac=4051296304, z750,2900.0,2006,30000,Ajaccio 20000,kawasaki,z750,675.0
https://www.leboncoin.fr/motos/1992395113.htm?ac=4051296304, z750,3500.0,2006,40000,Bègles 33130,kawasaki,z750,675.0
https://www.leboncoin.fr/motos/1999039303.htm?ac=4051296304, z 750,2800.0,2006,37000,Firminy 42700,kawasaki,z750,675.0
