uniq_id,reference,brand,model,price,bike_year,bike_type,engine_size,mileage,source,scraped_date,url,age,code_annonce
motomag-8455310,8455310,yamaha,fjr 1300a,1590,2007,Routière,1300,189293,motomag,2021-08-13 07:48:27.017379,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455310,14,Routière-13127YAMAHA-FJR1300A1590€2007-189293km12/08/2021
motomag-8455570,8455570,honda,crf 450 rx,4499,2017,Cross,450,87,motomag,2021-08-13 07:48:28.749803,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455570,4,Cross-59113HONDA-CRF450RX4499€2017-87km12/08/2021
motomag-8453792,8453792,suzuki,gsx-s 750,6999,2019,Roadster,750,20541,motomag,2021-08-13 07:48:30.489215,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453792,2,Roadster-25300SUZUKI-GSX-S7506999€2019-20541km12/08/2021
motomag-8452513,8452513,ducati,monster 797,7590,2018,Roadster,797,12391,motomag,2021-08-13 07:48:32.628594,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452513,3,Roadster-87280DUCATI-MONSTER7977590€2018-12391km12/08/2021
motomag-8452258,8452258,harley davidson,street glide,19900,2016,Routière,1690,27400,motomag,2021-08-13 07:48:34.759067,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452258,5,Routière-33130HARLEYDAVIDSON-STREETGLIDE19900€2016-27400km12/08/2021
motomag-8452514,8452514,yamaha,yz450f,6890,2019,Cross,450,71,motomag,2021-08-13 07:48:36.869104,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452514,2,Cross-87280YAMAHA-YZ450F6890€2019-71km12/08/2021
motomag-8452259,8452259,harley davidson,street glide special,19900,2015,Routière,1690,23500,motomag,2021-08-13 07:48:38.915798,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452259,6,Routière-33130HARLEYDAVIDSON-STREETGLIDE19900€2015-23500km12/08/2021
motomag-8452515,8452515,honda,transalp 650,2490,2003,Trail,650,44921,motomag,2021-08-13 07:48:40.704046,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452515,18,Trail-87280HONDA-TRANSALP6502490€2003-44921km12/08/2021
motomag-8452260,8452260,harley davidson,ultra limited,25900,2019,Custom,1868,28600,motomag,2021-08-13 07:48:42.337414,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452260,2,Custom-33130HARLEYDAVIDSON-ULTRALIMITED25900€2019-28600km12/08/2021
motomag-8452261,8452261,harley davidson,dyna street bob,12500,2013,Custom,1584,23500,motomag,2021-08-13 07:48:44.300687,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452261,8,Custom-33130HARLEYDAVIDSON-DYNASTREET12500€2013-23500km12/08/2021
motomag-8452804,8452804,honda,deauville,3000,2014,Routière,700,35001,motomag,2021-08-13 07:48:48.510394,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452804,7,Routière-45290HONDA-DEAUVILLE3000€2014-35001km25/08/2018
motomag-8453491,8453491,kawasaki,versys 650,8200,2018,Trail,650,11915,motomag,2021-08-13 07:48:52.476777,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453491,3,Trail-70000KAWASAKI-VERSYS6508200€2018-11915km29/06/2018
motomag-8452078,8452078,triumph,bonneville 1200 bobber,12990,2020,Custom,1200,790,motomag,2021-08-13 07:48:54.926448,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452078,1,Custom-66000TRIUMPH-BONNEVILLE120012990€2020-790km17/07/2021
motomag-8453396,8453396,kawasaki,zx-10r,9490,2014,Sportive,998,8700,motomag,2021-08-13 07:48:57.079423,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453396,7,Sportive-38150KAWASAKI-ZX-10R9490€2014-8700km16/07/2021
motomag-8453510,8453510,kawasaki,z 1000 h2,15950,2020,Roadster,1000,447,motomag,2021-08-13 07:48:59.414887,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8453510,1,Roadster-70000KAWASAKI-Z1000H215950€2020-447km31/07/2021
motomag-8455157,8455157,triumph,scrambler 900 efi,5990,2010,Roadster,900,10000,motomag,2021-08-13 07:49:01.510523,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455157,11,Roadster-13127TRIUMPH-SCRAMBLER9005990€2010-10000km31/03/2021
motomag-8455494,8455494,honda,nc 750 x,6300,2017,Trail,750,9700,motomag,2021-08-13 07:49:03.711050,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455494,4,Trail-94270HONDA-NC750X6300€2017-9700km01/07/2021
motomag-8454660,8454660,ktm,exc six days,7590,2020,Enduro,450,5600,motomag,2021-08-13 07:49:06.029890,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8454660,1,Enduro-47200KTM-EXCSIXDAYS7590€2020-5600km08/07/2021
motomag-8452842,8452842,honda,transalp,800,1991,Trail,600,32323,motomag,2021-08-13 07:49:08.145477,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452842,30,Trail-45290HONDA-TRANSALP800€1991-32323km21/12/2020
motomag-8452843,8452843,bmw,r 1150 rt,1300,2002,Routière,1150,51933,motomag,2021-08-13 07:49:10.023315,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452843,19,Routière-45290BMW-R1150RT1300€2002-51933km21/12/2020
motomag-8452844,8452844,yamaha,bt 1100 bulldog,1500,2001,Roadster,1100,13093,motomag,2021-08-13 07:49:12.275809,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452844,20,Roadster-45290YAMAHA-BT1100BULLDOG1500€2001-13093km21/12/2020
motomag-8452392,8452392,kawasaki,versys,8690,2021,Trail,650,3500,motomag,2021-08-13 07:49:15.003633,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452392,0,Trail-31000KAWASAKI-VERSYS8690€2021-3500km11/08/2021
motomag-8455465,8455465,yamaha,nmax 125,2990,2021,Scooter,125,947,motomag,2021-08-13 07:49:16.977913,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455465,0,Scooter-56880YAMAHA-NMAX1252990€2021-947km11/08/2021
motomag-8455466,8455466,kymco,x-town 125,3150,2021,Scooter,125,1577,motomag,2021-08-13 07:49:19.050643,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455466,0,Scooter-56880KYMCO-X-TOWN1253150€2021-1577km11/08/2021
motomag-8455467,8455467,aprilia,sr 125,2200,2016,Scooter,125,4309,motomag,2021-08-13 07:49:21.048562,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455467,5,Scooter-56880APRILIA-SR1252200€2016-4309km11/08/2021
motomag-8455468,8455468,triumph,speed twin 1200,11650,2019,Roadster,1200,2213,motomag,2021-08-13 07:49:23.126245,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455468,2,Roadster-56880TRIUMPH-SPEEDTWIN120011650€2019-2213km11/08/2021
motomag-8455469,8455469,ktm,790 adventure r,11500,2020,Trail,799,263,motomag,2021-08-13 07:49:25.156275,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8455469,1,Trail-56880KTM-790ADVENTURE11500€2020-263km11/08/2021
motomag-8452142,8452142,moto-guzzi,v85 tt 850,11190,2021,Trail,850,2200,motomag,2021-08-13 07:49:27.268350,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452142,0,Trail-42100MOTO-GUZZI-V85TT85011190€2021-2200km11/08/2021
motomag-8452143,8452143,triumph,tiger 900 t90,2990,2000,Routière,900,63000,motomag,2021-08-13 07:49:29.239494,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452143,21,Routière-42100TRIUMPH-TIGER900T902990€2000-63000km11/08/2021
motomag-8452144,8452144,aprilia,tuono 125,3790,2021,Roadster,125,900,motomag,2021-08-13 07:49:31.427637,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452144,0,Roadster-42100APRILIA-TUONO1253790€2021-900km11/08/2021
motomag-8452656,8452656,ducati,panigale 959,10490,2016,Sportive,959,16857,motomag,2021-08-13 07:49:33.444270,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452656,5,Sportive-30000DUCATI-PANIGALE95910490€2016-16857km11/08/2021
motomag-8452145,8452145,bmw,g 310 r,4190,2020,Roadster,310,8200,motomag,2021-08-13 07:49:35.530079,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452145,1,Roadster-42100BMW-G310R4190€2020-8200km11/08/2021
motomag-8452657,8452657,kawasaki,er-6,4790,2009,Roadster,650,12700,motomag,2021-08-13 07:49:37.635955,https://www.motomag.com/spip.php?page=pamoto&id_annonce=8452657,12,Roadster-30000KAWASAKI-ER-64790€2009-12700km11/08/2021
