url,title,price,bike_year,mileage,brand,model,engine_size
https://www.lacentrale.fr/moto-occasion-annonce-69108639230.html, f900 r,7990,2020.0,1690,bmw,f900r,895.0
https://www.lacentrale.fr/moto-occasion-annonce-69106391798.html, f900 r,10590,2020.0,969,bmw,f900r,895.0
https://www.lacentrale.fr/moto-occasion-annonce-87102021967.html, f900 r,10590,2020.0,1879,bmw,f900r,895.0
https://www.lacentrale.fr/moto-occasion-annonce-69108584707.html, f900 r,7990,2020.0,1690,bmw,f900r,895.0
https://www.lacentrale.fr/moto-occasion-annonce-69107444288.html, f900 r,10520,2020.0,797,bmw,f900r,895.0
https://www.lacentrale.fr/moto-occasion-annonce-87102037053.html, r 1250 gs,18990,2019.0,8000,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-87102061705.html, r 1250 gs,18490,2019.0,27795,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-66101612457.html, r 1250 gs,23000,2019.0,4500,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-66101613998.html, r 1250 gs,18900,2019.0,6455,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-87101978536.html, r 1250 gs,20500,2019.0,17648,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-87101989382.html, r 1250 gs,22495,2019.0,6257,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-87102028609.html, r 1250 gs,22950,2019.0,4614,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-87102061559.html, r 1250 gs,21950,2019.0,18400,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-66101625972.html, r 1250 gs,18000,2019.0,19327,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-66101627184.html, r 1250 gs,20900,2019.0,4000,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-66101607126.html, r 1250 gs,23000,2019.0,3200,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-66101615006.html, r 1250 gs,20850,2019.0,454,bmw,r1250gs,1254.0
https://www.lacentrale.fr/moto-occasion-annonce-66101623364.html, r 1250 gs,19550,2019.0,5000,bmw,r1250gs,1254.0
