bike_color,bike_type,bike_year,brand,energy,engine_size,first_hand,homologue,mileage,model,price,reference,scraped_date,source,uniqid,url,version,warranty,year_circulation
Blanc,Scooter,2012,MBK,,125,,,10000,OCEO 125,1390,1857216,2021-06-22 11:25:52.233666,motovente,motovente-1857216,http://motovente.com/scooter-occasion/annonce-scooter-mbk-1857216.html,OCEO 125,non,06-04-2012
Argent,Roadster,2020,BMW,,900,,,1000,BMW F 900,2800,1854945,2021-06-22 11:25:52.258481,motovente,motovente-1854945,http://motovente.com/moto-occasion/annonce-moto-bmw-1854945.html,BMW F 900,non,29-05-2020
,Trail,2020,Yamaha,,700,Oui,,179,TENERE 700 Rally Edition,11490,1873608,2021-06-22 11:25:52.284394,motovente,motovente-1873608,http://motovente.com/moto-occasion/annonce-moto-yamaha-1873608.html,TENERE 700 Rally Edition,non,03-11-2020
Blanc,Trail,2020,KTM,,390,Oui,,500,390 ADVENTURE,5999,1873737,2021-06-22 11:25:52.312359,motovente,motovente-1873737,http://motovente.com/moto-occasion/annonce-moto-ktm-1873737.html,390 ADVENTURE,non,29-12-2020
Argent,Routière,2002,Yamaha,,1300,,,63047,FJR,4500,1873083,2021-06-22 11:25:52.337506,motovente,motovente-1873083,http://motovente.com/moto-occasion/annonce-moto-yamaha-1873083.html,FJR 1300,non,02-09-2002
NOIR MAT,Scooter,2019,Honda,,125,Oui,,2700,FORZA 125,3999,1835387,2021-06-22 11:25:52.364723,motovente,motovente-1835387,http://motovente.com/scooter-occasion/annonce-scooter-honda-1835387.html,FORZA 125,non,27-03-2019
Argent,Trail,2003,Honda,,1000,,,70400,XL 1000,2900,1873280,2021-06-22 11:25:52.393359,motovente,motovente-1873280,http://motovente.com/moto-occasion/annonce-moto-honda-1873280.html,XL 1000,non,18-06-2003
Bleu,Scooter,2016,Piaggio,,125,Oui,,28366,MEDLEY 125,2290,1873534,2021-06-22 11:25:52.420271,motovente,motovente-1873534,http://motovente.com/scooter-occasion/annonce-scooter-piaggio-1873534.html,MEDLEY 125,non,08-11-2016
Noir,Roadster,2012,Yamaha,,1300,,,18666,XJR,6590,1874223,2021-06-22 11:25:52.449322,motovente,motovente-1874223,http://motovente.com/moto-occasion/annonce-moto-yamaha-1874223.html,XJR 1300 SP,non,04-07-2012
Bleu,Routière,2013,Triumph,,1200,,,40998,TROPHY,10590,1872204,2021-06-22 11:25:52.475132,motovente,motovente-1872204,http://motovente.com/moto-occasion/annonce-moto-triumph-1872204.html,TROPHY 1200,non,29-10-2013
Rouge,Sportive,2017,Ducati,,937,Oui,,15900,SUPERSPORT 937,10490,1874020,2021-06-22 11:25:52.507689,motovente,motovente-1874020,http://motovente.com/moto-occasion/annonce-moto-ducati-1874020.html,SUPERSPORT 937,non,02-09-2017
Jaune,Trail,2019,Suzuki,,650,Oui,,4800,DL 650 V-STROM,7190,1872654,2021-06-22 11:25:52.534082,motovente,motovente-1872654,http://motovente.com/moto-occasion/annonce-moto-suzuki-1872654.html,DL 650 V-STROM,non,04-03-2019
Gris,Scooter,2020,Yamaha,,300,Oui,,4100,X-MAX 300 ABS,4990,1874470,2021-06-22 11:25:52.569416,motovente,motovente-1874470,http://motovente.com/scooter-occasion/annonce-scooter-yamaha-1874470.html,X-MAX 300 ABS,non,17-01-2020
Rouge,Sportive,2020,Ducati,,1103,Oui,,700,PANIGALE V4S,25990,1872457,2021-06-22 11:25:52.606709,motovente,motovente-1872457,http://motovente.com/moto-occasion/annonce-moto-ducati-1872457.html,PANIGALE V4S,non,02-05-2020
Noir + sable,Trail,2017,Suzuki,,1000,,,4000,DL 1000 V-STROM ABS,9900,1833044,2021-06-22 11:25:52.635266,motovente,motovente-1833044,http://motovente.com/moto-occasion/annonce-moto-suzuki-1833044.html,DL 1000 V-STROM ABS,non,07-06-2017
Noir,Routière,1999,BMW,,1100,,,22369,R 1100,4300,1873367,2021-06-22 11:25:52.665951,motovente,motovente-1873367,http://motovente.com/moto-occasion/annonce-moto-bmw-1873367.html,R 1100 RT,non,19-04-1999
