bike_color,bike_type,bike_year,brand,energy,engine_size,first_hand,homologue,mileage,model,price,reference,scraped_date,source,uniqid,url,version,warranty,year_circulation
JET BLACK,Routière,1994,Triumph,,900,,,77637,SPRINT,2490,1833053,2021-06-22 11:30:59.859194,motovente,motovente-1833053,http://motovente.com/moto-occasion/annonce-moto-triumph-1833053.html,SPRINT 900,non,31-05-1994
Orange,Enduro,2020,KTM,,450,,,1500,EXC-F,9500,1873173,2021-06-22 11:30:59.961360,motovente,motovente-1873173,http://motovente.com/moto-occasion/annonce-moto-ktm-1873173.html,EXC-F,non,15-10-2020
Bleu,Scooter,2019,Yamaha,,530,Oui,,3909,TMAX 530 SX,10990,1849382,2021-06-22 11:31:00.065876,motovente,motovente-1849382,http://motovente.com/scooter-occasion/annonce-scooter-yamaha-1849382.html,TMAX 530 SX,non,11-07-2019
Gris,Roadster,2017,Kawasaki,,650,,,11900,Z650 ABS brid A2,5490,1865824,2021-06-22 11:31:00.172644,motovente,motovente-1865824,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1865824.html,Z650 ABS brid A2,non,03-08-2017
Noir,Routière,2006,Kawasaki,,750,,,26816,Z750,2990,1871051,2021-06-22 11:31:00.275162,motovente,motovente-1871051,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1871051.html,Z 750 S,non,15-03-2006
Rouge,Routière,2021,Yamaha,,689,Oui,,1859,TRACER 7,7990,1865565,2021-06-22 11:31:00.379535,motovente,motovente-1865565,http://motovente.com/moto-occasion/annonce-moto-yamaha-1865565.html,TRACER 7,non,09-01-2021
Argent,Scooter,2019,Kymco,,50,,,5131,AGILITY 50,1299,1873985,2021-06-22 11:31:00.481852,motovente,motovente-1873985,http://motovente.com/scooter-occasion/annonce-scooter-kymco-1873985.html,AGILITY 50,non,18-12-2019
Bleu,Scooter,2019,Honda,,300,,,4300,NSS FORZA 300,4990,1870485,2021-06-22 11:31:00.584586,motovente,motovente-1870485,http://motovente.com/scooter-occasion/annonce-scooter-honda-1870485.html,NSS FORZA 300,non,16-04-2019
Noir,Scooter,2016,Kymco,,400,,,9800,XCITING 400I,3990,1869852,2021-06-22 11:31:00.711886,motovente,motovente-1869852,http://motovente.com/scooter-occasion/annonce-scooter-kymco-1869852.html,XCITING 400I,non,29-06-2016
Noir,Scooter,2020,Honda,,125,Oui,,689,SH 125I,3299,1874059,2021-06-22 11:31:00.810145,motovente,motovente-1874059,http://motovente.com/scooter-occasion/annonce-scooter-honda-1874059.html,SH 125I,non,28-12-2020
Argent,Routière,2005,BMW,,1200,,,7000,R 1200 ST,4990,1874409,2021-06-22 11:31:00.911245,motovente,motovente-1874409,http://motovente.com/moto-occasion/annonce-moto-bmw-1874409.html,R 1200 ST,non,05-05-2005
Blanc,Trail,2021,Honda,,1000,Oui,,1138,Africa Twin 1100 DCT,16149,1871588,2021-06-22 11:31:01.013854,motovente,motovente-1871588,http://motovente.com/moto-occasion/annonce-moto-honda-1871588.html,Africa Twin 1100 DCT,non,09-02-2021
Argent,Routière,2006,Honda,,700,Oui,,14000,NT DEAUVILLE 700,3900,1871550,2021-06-22 11:31:01.122498,motovente,motovente-1871550,http://motovente.com/moto-occasion/annonce-moto-honda-1871550.html,NT DEAUVILLE 700,non,31-07-2006
Rouge,Trail,2018,Yamaha,,685,,,7000,TRACER 700,7890,1872850,2021-06-22 11:31:01.232117,motovente,motovente-1872850,http://motovente.com/moto-occasion/annonce-moto-yamaha-1872850.html,TRACER 700,non,13-07-2018
Noir,Scooter,2015,Piaggio,,125,Oui,,4517,FLY,1790,1858465,2021-06-22 11:31:01.338947,motovente,motovente-1858465,http://motovente.com/scooter-occasion/annonce-scooter-piaggio-1858465.html,FLY 125,non,20-03-2015
Argent,Scooter,2018,Piaggio,,125,,,9000,LIBERTY 125,1000,1862120,2021-06-22 11:31:01.443453,motovente,motovente-1862120,http://motovente.com/scooter-occasion/annonce-scooter-piaggio-1862120.html,LIBERTY 125,non,09-09-2018
Noir,Roadster,2019,Triumph,,765,Oui,,10408,STREET TRIPLE 765 S ,8250,1871753,2021-06-22 11:31:01.550089,motovente,motovente-1871753,http://motovente.com/moto-occasion/annonce-moto-triumph-1871753.html,STREET TRIPLE 765 S ,non,23-05-2019
Vert,Roadster,2019,Kawasaki,,948,Oui,,2990,Z900RS,9350,1870063,2021-06-22 11:31:01.665247,motovente,motovente-1870063,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1870063.html,Z900RS,non,29-08-2019
Blanc,Roadster,2014,Honda,Essence 4t,750,Oui,,2400,NC 750 XA,6350,1520717,2021-06-22 11:31:01.771749,motovente,motovente-1520717,http://motovente.com/moto-occasion/annonce-moto-honda-1520717.html,ABS,25/09/16,25-09-2014
Blanc,Quad Loisirs,2017,Yamaha,,1000,,,350,YXZ 1000R,25999,1873933,2021-06-22 11:31:01.876702,motovente,motovente-1873933,http://motovente.com/quad-occasion/annonce-quad-yamaha-1873933.html,YXZ 1000R,non,14-03-2017
Gris,Sportive,2011,BMW,,800,Oui,,45608,F800ST,5690,1865267,2021-06-22 11:31:01.983533,motovente,motovente-1865267,http://motovente.com/moto-occasion/annonce-moto-bmw-1865267.html,F800ST,non,19-01-2011
Jaune,Trail,2020,Suzuki,,650,Oui,,1600,DL 650 V-STROM XT,8900,1861870,2021-06-22 11:31:02.086489,motovente,motovente-1861870,http://motovente.com/moto-occasion/annonce-moto-suzuki-1861870.html,DL 650 V-STROM XT,non,09-09-2020
Blanc,Scooter,2008,Yamaha,,250,,,41800,X-MAX,2190,1848945,2021-06-22 11:31:02.194420,motovente,motovente-1848945,http://motovente.com/scooter-occasion/annonce-scooter-yamaha-1848945.html,X-MAX 250,non,01-05-2008
Bleu,Routière,2018,BMW,,1200,,,27193,R 1200,12190,1866475,2021-06-22 11:31:02.303952,motovente,motovente-1866475,http://motovente.com/moto-occasion/annonce-moto-bmw-1866475.html,R 1200 R,non,24-07-2018
Bordeaux,Roadster,1999,Yamaha,,900,,,25200,XJ,3490,1873796,2021-06-22 11:31:02.407137,motovente,motovente-1873796,http://motovente.com/moto-occasion/annonce-moto-yamaha-1873796.html,DIVERSION,non,01-04-1999
,Custom,2020,Honda,,500,Oui,,2231,REBEL 500,6690,1873595,2021-06-22 11:31:02.519774,motovente,motovente-1873595,http://motovente.com/moto-occasion/annonce-moto-honda-1873595.html,REBEL 500,non,23-06-2020
Orange,Trail,2014,BMW,,800,,,10600,F 800 R,6290,1874282,2021-06-22 11:31:02.622478,motovente,motovente-1874282,http://motovente.com/moto-occasion/annonce-moto-bmw-1874282.html,F 800 R,non,16-07-2014
Jaune,Cross,2019,Suzuki,,450,Oui,,90,RM-Z 450,5290,1874536,2021-06-22 11:31:02.728592,motovente,motovente-1874536,http://motovente.com/moto-occasion/annonce-moto-suzuki-1874536.html,RM-Z 450,non,01-01-2019
Noir,Scooter,2019,Piaggio,,500,Oui,,14800,MP3 500,7990,1867345,2021-06-22 11:31:02.827372,motovente,motovente-1867345,http://motovente.com/scooter-occasion/annonce-scooter-piaggio-1867345.html,MP3 500,non,22-05-2019
Argent,Scooter,2016,Kawasaki,,125,,,13600,J125,2890,1872511,2021-06-22 11:31:02.931894,motovente,motovente-1872511,http://motovente.com/scooter-occasion/annonce-scooter-kawasaki-1872511.html,J125,non,03-03-2016
Noir,Custom,2015,Harley-Davidson,,1200,,,12500,SPORTSTER,12490,1874081,2021-06-22 11:31:03.029372,motovente,motovente-1874081,http://motovente.com/moto-occasion/annonce-moto-harley_davidson-1874081.html,,non,01-05-2015
Bleu,Roadster,2017,Suzuki,,750,,,14998,GSX-S 750,7990,1874365,2021-06-22 11:31:03.126712,motovente,motovente-1874365,http://motovente.com/moto-occasion/annonce-moto-suzuki-1874365.html,GSX-S 750,non,25-04-2017
Gris,Routière,2011,Triumph,,1050,,,49505,Sprint 1050 GT,5999,1874166,2021-06-22 11:31:03.226304,motovente,motovente-1874166,http://motovente.com/moto-occasion/annonce-moto-triumph-1874166.html,Sprint 1050 GT,non,09-06-2011
Noir,Scooter,2019,Yamaha,,125,,,2400,D'ELIGHT,1990,1859847,2021-06-22 11:31:03.325577,motovente,motovente-1859847,http://motovente.com/scooter-occasion/annonce-scooter-yamaha-1859847.html,D'ELIGHT,non,24-09-2019
Blanc,Sportive,2015,Honda,,500,,,18650,CBR 500 R,4990,1873671,2021-06-22 11:31:03.422738,motovente,motovente-1873671,http://motovente.com/moto-occasion/annonce-moto-honda-1873671.html,CBR 500 R,non,29-09-2015
Noir,Trail,2018,Suzuki,,1000,Oui,,5400,DL 1000 V-STROM,9590,1850128,2021-06-22 11:31:03.522171,motovente,motovente-1850128,http://motovente.com/moto-occasion/annonce-moto-suzuki-1850128.html,DL 1000 V-STROM,non,09-02-2018
Noir,Routière,2020,Yamaha,,900,,,3500,TRACER 900,9999,1873472,2021-06-22 11:31:03.623489,motovente,motovente-1873472,http://motovente.com/moto-occasion/annonce-moto-yamaha-1873472.html,TRACER 900,non,28-07-2020
Argent,Scooter,2016,SYM,,100,,,12768,MIO 100,350,1859138,2021-06-22 11:31:03.725504,motovente,motovente-1859138,http://motovente.com/scooter-occasion/annonce-scooter-sym-1859138.html,MIO 100,non,15-07-2016
Noir,Scooter,2019,SYM,,300,Oui,,7500,CRUISYM 300,3690,1855694,2021-06-22 11:31:03.823921,motovente,motovente-1855694,http://motovente.com/scooter-occasion/annonce-scooter-sym-1855694.html,CRUISYM 300,non,20-03-2019
Noir,Scooter,2011,Piaggio,,300,,,45551,MP3 300LT YOURBAN,2460,1852637,2021-06-22 11:31:03.924535,motovente,motovente-1852637,http://motovente.com/scooter-occasion/annonce-scooter-piaggio-1852637.html,MP3 300LT YOURBAN,non,12-09-2011
Vert,Roadster,2020,Kawasaki,,650,Oui,,820,Z 650,6399,1855831,2021-06-22 11:31:04.030988,motovente,motovente-1855831,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1855831.html,Z 650,non,18-06-2020
Gris,Trail,2006,Honda,,125,,,5600,VARADERO 125,2790,1874108,2021-06-22 11:31:04.138531,motovente,motovente-1874108,http://motovente.com/moto-occasion/annonce-moto-honda-1874108.html,VARADERO 125,non,20-06-2006
Vert,Scooter,2018,Piaggio,,350,Oui,,4554,MP3 350 ABS/ASR,6790,1851475,2021-06-22 11:31:04.240862,motovente,motovente-1851475,http://motovente.com/scooter-occasion/annonce-scooter-piaggio-1851475.html,MP3 350 ABS/ASR,non,21-11-2018
Rouge,Quad Utilitaire,2013,Suzuki,Essence 4t,750,,,1972,King 750 axi,3800,1872569,2021-06-22 11:31:04.341902,motovente,motovente-1872569,http://motovente.com/quad-occasion/annonce-quad-suzuki-1872569.html,,,13-12-2013
Argent,Roadster,2011,Triumph,,1050,,,65262,SPEED TRIPLE 1050 S ,5990,1872139,2021-06-22 11:31:04.446355,motovente,motovente-1872139,http://motovente.com/moto-occasion/annonce-moto-triumph-1872139.html,SPEED TRIPLE 1050 S ,non,18-05-2011
Noir,Sportive,1984,Honda,,250,,,7890,NS 250 F,2495,1843986,2021-06-22 11:31:04.547296,motovente,motovente-1843986,http://motovente.com/moto-occasion/annonce-moto-honda-1843986.html,NS 250 F,non,01-01-1984
Bleu,Trail,2021,Honda,,1100,Oui,,3400,Africa Twin CRF1100L Adv Sport S,17290,1872828,2021-06-22 11:31:04.649212,motovente,motovente-1872828,http://motovente.com/moto-occasion/annonce-moto-honda-1872828.html,Africa Twin CRF1100L Adv Sport S,non,06-01-2021
Noir,Roadster,1998,Yamaha,,1300,,,49104,XJR,4500,1862508,2021-06-22 11:31:04.751437,motovente,motovente-1862508,http://motovente.com/moto-occasion/annonce-moto-yamaha-1862508.html,XJR 1300,non,15-03-1998
Gris,Routière,2021,Honda,,1300,,,49250,PAN EUROPEAN ABS 1300,5999,1871178,2021-06-22 11:31:04.850959,motovente,motovente-1871178,http://motovente.com/moto-occasion/annonce-moto-honda-1871178.html,PAN EUROPEAN ABS 1300,non,19-02-2003
Noir,Scooter,2019,Kymco,,50,Oui,,450,LIKE 50,1762,1874097,2021-06-22 11:31:04.950923,motovente,motovente-1874097,http://motovente.com/scooter-occasion/annonce-scooter-kymco-1874097.html,LIKE 50,non,07-06-2019
Argent,Routière,2016,Yamaha,,847,,,26737,MT-09 TRACER,7190,1874294,2021-06-22 11:31:05.053764,motovente,motovente-1874294,http://motovente.com/moto-occasion/annonce-moto-yamaha-1874294.html,MT-09 TRACER,non,02-12-2016
Vert,Sportive,2018,Kawasaki,,1400,,,7500,ZZR 1400,14690,1874520,2021-06-22 11:31:05.157042,motovente,motovente-1874520,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1874520.html,ZZR 1400,non,13-04-2018
Blanc,Routière,1998,Harley-Davidson,Essence 4t,1450,,,800000,FLTPI,12500,1140741,2021-06-22 11:31:05.256755,motovente,motovente-1140741,http://motovente.com/moto-occasion/annonce-moto-harley_davidson-1140741.html,ROAD KING POLICE,NON,01-01-1998
Noir,Roadster,2018,Rieju,,50,,,1900,RS3,2899,1872704,2021-06-22 11:31:05.359872,motovente,motovente-1872704,http://motovente.com/moto-occasion/annonce-moto-rieju-1872704.html,RS3,non,28-06-2018
Bleu,Roadster,2012,Suzuki,,750,,,53122,GSR,5499,1873464,2021-06-22 11:31:05.459087,motovente,motovente-1873464,http://motovente.com/moto-occasion/annonce-moto-suzuki-1873464.html,GSR 750,non,07-02-2012
Noir,Roadster,2010,Kawasaki,,650,,,22400,ER-6,3999,1873667,2021-06-22 11:31:05.559789,motovente,motovente-1873667,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1873667.html,ER-6,non,15-12-2010
Argent,Roadster,2003,Yamaha,,600,,,63119,FZ1 FAZER,2390,1866230,2021-06-22 11:31:05.659953,motovente,motovente-1866230,http://motovente.com/moto-occasion/annonce-moto-yamaha-1866230.html,FZS FAZER,non,16-09-2003
Bleu,Cross,2021,Yamaha,,450,,,12,450 YZF 2021,7390,1874170,2021-06-22 11:31:05.762175,motovente,motovente-1874170,http://motovente.com/moto-occasion/annonce-moto-yamaha-1874170.html,450 YZF 2021,non,15-02-2021
Gris,Roadster,2002,Yamaha,,1100,Oui,,45112,BT1100 BULLDOG,3990,1726132,2021-06-22 11:31:05.863398,motovente,motovente-1726132,http://motovente.com/moto-occasion/annonce-moto-yamaha-1726132.html,BT1100 BULLDOG,non,11-06-2002
Noir,Scooter,2019,BMW,,650,Oui,,9502,C 650 GT,8990,1874373,2021-06-22 11:31:05.965883,motovente,motovente-1874373,http://motovente.com/scooter-occasion/annonce-scooter-bmw-1874373.html,C 650 GT,non,24-10-2019
Rouge,Trail,2017,Honda,,1200,,,32929,CROSSTOURER,11000,1868559,2021-06-22 11:31:06.090732,motovente,motovente-1868559,http://motovente.com/moto-occasion/annonce-moto-honda-1868559.html,CROSSTOURER,non,14-04-2017
Noir,Trail,2018,BMW,,1200,Oui,,15490,R1200GS EDITION EXCLUSIVE,16490,1864742,2021-06-22 11:31:06.193695,motovente,motovente-1864742,http://motovente.com/moto-occasion/annonce-moto-bmw-1864742.html,R1200GS EDITION EXCLUSIVE,non,14-04-2018
Noir,Trail,2020,Honda,,1000,Oui,,1758,AFRICA TWIN CRF1000L STD,13290,1871315,2021-06-22 11:31:06.294688,motovente,motovente-1871315,http://motovente.com/moto-occasion/annonce-moto-honda-1871315.html,AFRICA TWIN CRF1000L STD,non,11-02-2020
Vert,Routière,2011,Kawasaki,,1000,,,33292,Z1000,6490,1870626,2021-06-22 11:31:06.401506,motovente,motovente-1870626,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1870626.html,Z 1000 SX,non,19-01-2011
Noir,Routière,2010,Kawasaki,,1400,Oui,,58472,ZZR1400 ABS,7490,1873925,2021-06-22 11:31:06.504089,motovente,motovente-1873925,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1873925.html,ZZR1400 ABS,non,26-05-2010
Vert,Routière,2018,Kawasaki,,900,,,18200,Z 900,6990,1870719,2021-06-22 11:31:06.602936,motovente,motovente-1870719,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1870719.html,Z 900,non,18-07-2018
Argent,Trail,2018,Suzuki,,650,,,12000,DL 650 V-STROM XT A2,6990,1871029,2021-06-22 11:31:06.700542,motovente,motovente-1871029,http://motovente.com/moto-occasion/annonce-moto-suzuki-1871029.html,DL 650 V-STROM XT A2,non,16-01-2018
Beige,Trail,2019,Ducati,,1260,,,2484,MULTISTRADA 1260 S ENDURO,18990,1842853,2021-06-22 11:31:06.800297,motovente,motovente-1842853,http://motovente.com/moto-occasion/annonce-moto-ducati-1842853.html,MULTISTRADA 1260 S ENDURO,non,27-12-2018
Noir,Trail,2007,Kawasaki,,650,,,25660,VERSYS,3990,1872979,2021-06-22 11:31:06.907758,motovente,motovente-1872979,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1872979.html,,non,31-05-2007
Gris,Roadster,2005,BMW,,1150,,,9650,R 1150,6490,1831559,2021-06-22 11:31:07.020070,motovente,motovente-1831559,http://motovente.com/moto-occasion/annonce-moto-bmw-1831559.html,R 1150 R,non,10-05-2005
Gris,Scooter,2017,BMW,,650,Oui,,7791,C 650 GT,8399,1850910,2021-06-22 11:31:07.128925,motovente,motovente-1850910,http://motovente.com/scooter-occasion/annonce-scooter-bmw-1850910.html,C 650 GT,non,03-08-2017
Gris,Trail,2015,Triumph,,1200,,,18900,Tiger Explorer,10990,1861418,2021-06-22 11:31:07.249221,motovente,motovente-1861418,http://motovente.com/moto-occasion/annonce-moto-triumph-1861418.html,Tiger Explorer,non,31-03-2015
Argent,Scooter,2004,Honda,,100,,,36704,LEAD SCV 100,300,1851532,2021-06-22 11:31:07.365491,motovente,motovente-1851532,http://motovente.com/scooter-occasion/annonce-scooter-honda-1851532.html,LEAD SCV 100,non,21-12-2004
Noir,Scooter,2019,Yamaha,,530,Oui,,275,TMAX 530 ABS,9990,1829964,2021-06-22 11:31:07.474860,motovente,motovente-1829964,http://motovente.com/scooter-occasion/annonce-scooter-yamaha-1829964.html,TMAX 530 ABS,non,31-12-2019
Argent,Scooter,2009,SYM,,125,,,10116,VS 125,1290,1856026,2021-06-22 11:31:07.596255,motovente,motovente-1856026,http://motovente.com/scooter-occasion/annonce-scooter-sym-1856026.html,VS 125,non,20-08-2009
Rouge,Routière,2019,BMW,,1250,,,9500,R 1250 RT,19990,1873758,2021-06-22 11:31:07.718614,motovente,motovente-1873758,http://motovente.com/moto-occasion/annonce-moto-bmw-1873758.html,R 1250 RT,non,28-06-2019
Argent,Routière,2005,Honda,,1300,,,78900,PAN EUROPEAN ABS 1300,5900,1845655,2021-06-22 11:31:07.824385,motovente,motovente-1845655,http://motovente.com/moto-occasion/annonce-moto-honda-1845655.html,PAN EUROPEAN ABS 1300,non,18-04-2005
Argent,Custom,2020,Kawasaki,,650,,,7500,VULCAN S,6990,1873308,2021-06-22 11:31:07.932849,motovente,motovente-1873308,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1873308.html,VULCAN S,non,03-06-2020
Argent,Scooter,2020,Kymco,,125,Oui,,1300,X-TOWN 300,3500,1871938,2021-06-22 11:31:08.038964,motovente,motovente-1871938,http://motovente.com/scooter-occasion/annonce-scooter-kymco-1871938.html,X-TOWN 300,non,08-08-2020
Vert,Collection,2005,Kawasaki,Essence 4t,1200,Oui,,22600,ZRX,8995,1873874,2021-06-22 11:31:08.146082,motovente,motovente-1873874,http://motovente.com/moto-collection/annonce-moto-kawasaki-1873874.html,ZRX 1200R,,06-07-2005
Argent,Roadster,2004,Yamaha,,600,,,32135,FZ6 (98CV),3499,1870777,2021-06-22 11:31:08.249546,motovente,motovente-1870777,http://motovente.com/moto-occasion/annonce-moto-yamaha-1870777.html,FZ6 (98CV),non,18-03-2004
Vert,Trail,2017,Kawasaki,,650,,,21779,VERSYS,8490,1871047,2021-06-22 11:31:08.351371,motovente,motovente-1871047,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1871047.html,VERSYS 650,non,18-05-2017
Noir,Scooter,2019,Honda,,750,,,11700,X-ADV 750,10290,1864410,2021-06-22 11:31:08.458940,motovente,motovente-1864410,http://motovente.com/scooter-occasion/annonce-scooter-honda-1864410.html,X-ADV 750,non,19-09-2019
Gris,Trail,2004,Suzuki,,1000,,,37987,DL 1000 V-STROM,4900,1872917,2021-06-22 11:31:08.575316,motovente,motovente-1872917,http://motovente.com/moto-occasion/annonce-moto-suzuki-1872917.html,DL 1000 V-STROM,non,29-06-2004
Noir,Roadster,2014,Yamaha,,850,,,35500,MT-09,5990,1873993,2021-06-22 11:31:08.675850,motovente,motovente-1873993,http://motovente.com/moto-occasion/annonce-moto-yamaha-1873993.html,MT-09,non,05-04-2014
Blanc,Routière,2016,Honda,,700,Oui,,93543,DEAUVILLE ABS 700,4900,1865770,2021-06-22 11:31:08.782260,motovente,motovente-1865770,http://motovente.com/moto-occasion/annonce-moto-honda-1865770.html,DEAUVILLE ABS 700,non,14-09-2016
Noir,Quad Loisirs,2018,Yamaha,,708,,,2607,YFM 700 Grizzly SE,12990,1874222,2021-06-22 11:31:08.885371,motovente,motovente-1874222,http://motovente.com/quad-occasion/annonce-quad-yamaha-1874222.html,YFM 700 Grizzly SE,non,30-11-2018
Bleu,Scooter,2019,Piaggio,,500,,,579,MP3 500 LT,8500,1872205,2021-06-22 11:31:08.984844,motovente,motovente-1872205,http://motovente.com/scooter-occasion/annonce-scooter-piaggio-1872205.html,MP3 500 LT,non,23-02-2019
Rouge,Sportive,2019,Honda,,650,,,15000,CBR 650 R,8200,1874021,2021-06-22 11:31:09.088209,motovente,motovente-1874021,http://motovente.com/moto-occasion/annonce-moto-honda-1874021.html,CBR 650 R,non,25-09-2019
Noir,Routière,2015,Honda,,1800,Oui,,30999,GOLDWING 1800,19990,1873082,2021-06-22 11:31:09.189859,motovente,motovente-1873082,http://motovente.com/moto-occasion/annonce-moto-honda-1873082.html,GOLDWING 1800,non,10-04-2015
Orange,Trail,2019,Kawasaki,,1000,Oui,,6641,VERSYS,11790,1835386,2021-06-22 11:31:09.291729,motovente,motovente-1835386,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1835386.html,,non,08-02-2019
Argent,Routière,1988,Honda,,750,,,38109,VFR 750 F,1100,1870835,2021-06-22 11:31:09.394565,motovente,motovente-1870835,http://motovente.com/moto-occasion/annonce-moto-honda-1870835.html,VFR 750 F,non,31-05-1988
Noir,Roadster,2005,Yamaha,,1100,,,45600,BT BULLDOG,4200,1873281,2021-06-22 11:31:09.495072,motovente,motovente-1873281,http://motovente.com/moto-occasion/annonce-moto-yamaha-1873281.html,BT 1100 BULLDOG,non,29-09-2005
noir / noir mat,Scooter,2018,Piaggio,,500,Oui,,700,MP3 500 LT ABS,9599,1833045,2021-06-22 11:31:09.604574,motovente,motovente-1833045,http://motovente.com/scooter-occasion/annonce-scooter-piaggio-1833045.html,MP3 500 LT ABS,non,06-06-2018
Bleu,Routière,2016,Kawasaki,,1400,,,44300,GTR,10900,1863815,2021-06-22 11:31:09.703451,motovente,motovente-1863815,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1863815.html,GTR 1400,non,28-04-2016
Gris,Routière,2019,Suzuki,,1000,Oui,,3340,GSX-S 1000S KATANA,9990,1872655,2021-06-22 11:31:09.802759,motovente,motovente-1872655,http://motovente.com/moto-occasion/annonce-moto-suzuki-1872655.html,GSX-S 1000S KATANA,non,17-05-2019
Orange,Roadster,2021,KTM,,1290,,,1467,1290 SUPER DUKE R,16990,1874471,2021-06-22 11:31:09.902747,motovente,motovente-1874471,http://motovente.com/moto-occasion/annonce-moto-ktm-1874471.html,1290 SUPER DUKE R,non,04-02-2021
Rouge,Trail,2015,Ducati,,1200,,,14107,MULTISTRADA END,12990,1868949,2021-06-22 11:31:10.004309,motovente,motovente-1868949,http://motovente.com/moto-occasion/annonce-moto-ducati-1868949.html,MULTISTRADA END,non,10-06-2015
Bleu,Enduro,2019,Sherco,,300,Oui,,89,3.0I-F,7290,1872456,2021-06-22 11:31:10.119383,motovente,motovente-1872456,http://motovente.com/moto-occasion/annonce-moto-sherco-1872456.html,3.0I-F,non,13-09-2020
Noir,Roadster,2020,Kawasaki,,1000,,,1200,ZH2,13900,1868135,2021-06-22 11:31:10.229677,motovente,motovente-1868135,http://motovente.com/moto-occasion/annonce-moto-kawasaki-1868135.html,ZH2,non,12-05-2020
Noir,Custom,2021,BMW,,1800,Oui,,365,R18 CLASSIC,25290,1871329,2021-06-22 11:31:10.337264,motovente,motovente-1871329,http://motovente.com/moto-occasion/annonce-moto-bmw-1871329.html,R18 CLASSIC,non,30-04-2021
Noir,Routière,2017,Yamaha,,900,,,199,TRACER 900,9199,1873919,2021-06-22 11:31:10.439214,motovente,motovente-1873919,http://motovente.com/moto-occasion/annonce-moto-yamaha-1873919.html,TRACER 900,non,01-06-2021
Gris,Roadster,2017,BMW,,1200,Oui,,6000,R NineT,10900,1869406,2021-06-22 11:31:10.541129,motovente,motovente-1869406,http://motovente.com/moto-occasion/annonce-moto-bmw-1869406.html,R NineT,non,07-07-2017
Gris,Scooter,2019,Suzuki,,400,,,9576,BURGMAN,5490,1870049,2021-06-22 11:31:10.641643,motovente,motovente-1870049,http://motovente.com/scooter-occasion/annonce-scooter-suzuki-1870049.html,BURGMAN 400,non,15-02-2019
Argent,Sportive,1998,Suzuki,,600,,,84335,GSX600F,700,1847674,2021-06-22 11:31:10.748423,motovente,motovente-1847674,http://motovente.com/moto-occasion/annonce-moto-suzuki-1847674.html,GSX600F,non,04-12-1998
Orange,Cross,2014,KTM,Essence 2t,85,,Non,0,SX,3190,1527229,2021-06-22 11:31:10.856236,motovente,motovente-1527229,http://motovente.com/moto-occasion/annonce-moto-ktm-1527229.html,,,15-06-2014
Argent,Scooter,2010,Suzuki,,650,,,49700,BURGMAN,3390,1848199,2021-06-22 11:31:10.972275,motovente,motovente-1848199,http://motovente.com/scooter-occasion/annonce-scooter-suzuki-1848199.html,BURGMAN 650,non,10-02-2010
Bleu,Trail,2014,Yamaha,,1200,Oui,,38793,XTZ 1200 E SUPER TENERE,9290,1872738,2021-06-22 11:31:11.076305,motovente,motovente-1872738,http://motovente.com/moto-occasion/annonce-moto-yamaha-1872738.html,XTZ 1200 E SUPER TENERE,non,13-05-2014
Noir,Roadster,2010,Yamaha,,600,,,34300,FZ6 (98CV),3500,1873008,2021-06-22 11:31:11.187951,motovente,motovente-1873008,http://motovente.com/moto-occasion/annonce-moto-yamaha-1873008.html,FZ6 (98CV),non,28-07-2010
Gris,Scooter,2013,BMW,,650,,,13274,C650 GT,5490,1871347,2021-06-22 11:31:11.289112,motovente,motovente-1871347,http://motovente.com/scooter-occasion/annonce-scooter-bmw-1871347.html,C650 GT,non,29-10-2013
Argent,Roadster,2021,Husqvarna,,373,Oui,,356,VITPILEN 401,6199,1873977,2021-06-22 11:31:11.392230,motovente,motovente-1873977,http://motovente.com/moto-occasion/annonce-moto-husqvarna-1873977.html,VITPILEN 401,non,09-04-2021
Orange,Roadster,2009,Triumph,,675,,,50910,SPEED TRIPLE,4590,1873890,2021-06-22 11:31:11.492382,motovente,motovente-1873890,http://motovente.com/moto-occasion/annonce-moto-triumph-1873890.html,STREET TRIPLE 675 R,non,22-10-2009
Noir,Trail,2016,BMW,,700,,,20500,F 700 GS 47.5CV,7490,1872814,2021-06-22 11:31:11.619067,motovente,motovente-1872814,http://motovente.com/moto-occasion/annonce-moto-bmw-1872814.html,F 700 GS 47.5CV,non,30-12-2016
Bleu,Trail,2002,Honda,,1000,,,31490,VARADERO 1000,4490,1871514,2021-06-22 11:31:11.722075,motovente,motovente-1871514,http://motovente.com/moto-occasion/annonce-moto-honda-1871514.html,VARADERO 1000,non,02-01-2002
