source,step,status,time,details
moto-selection,scrap annonces,started,2021-06-05 12:00:02.877679,
moto-selection,scrap annonces,completed,2021-06-05 14:46:11.913170,"166.15 minutes elapsed, 3613 annonces scrapped"
moto-selection,to dataframe,started,2021-06-05 14:46:11.917267,
moto-occasion,scrap pages,started,2021-06-05 15:24:03.974873,
moto-occasion,scrap pages,started,2021-06-05 15:25:06.889780,
moto-occasion,scrap pages,started,2021-06-05 15:25:37.960810,
moto-occasion,scrap pages,completed,2021-06-05 15:30:46.068040,"5.133333333333334 minutes elapsed, 145 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-05 15:30:46.101216,
moto-occasion,scrap annonces,completed,2021-06-05 15:39:24.542858,"8.633333333333333 minutes elapsed, 300 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-05 15:39:24.547243,
moto-occasion,to dataframe,completed,2021-06-05 15:53:00.686407,13.6 minutes elapsed
moto-selection,to dataframe,started,2021-06-05 19:14:48.109964,
moto-selection,to dataframe,error,2021-06-05 20:28:40.459800,name 'page_number' is not defined
moto-occasion,scrap pages,started,2021-06-06 20:25:10.140348,
moto-selection,scrap pages,started,2021-06-06 20:25:29.075599,
moto-occasion,scrap pages,completed,2021-06-06 20:29:47.799487,"4.616666666666666 minutes elapsed, 143 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-06 20:29:47.838780,
moto-occasion,scrap annonces,completed,2021-06-06 20:32:11.482323,"2.3833333333333333 minutes elapsed, 73 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-06 20:32:11.487063,
moto-occasion,to dataframe,completed,2021-06-06 20:35:02.203295,2.8333333333333335 minutes elapsed
moto-selection,scrap pages,completed,2021-06-06 20:38:19.242690,"12.833333333333334 minutes elapsed, 242 pages scrapped"
moto-selection,scrap annonces,started,2021-06-06 20:38:19.290599,
moto-selection,scrap annonces,completed,2021-06-06 20:48:31.684850,"10.2 minutes elapsed, 211 annonces scrapped"
moto-selection,to dataframe,started,2021-06-06 20:48:31.690300,
moto-selection,to dataframe,error,2021-06-06 20:59:34.896996,name 'page_number' is not defined
moto-occasion,scrap pages,started,2021-06-07 23:15:26.410595,
moto-selection,scrap pages,started,2021-06-07 23:15:41.872419,
moto-occasion,scrap pages,completed,2021-06-07 23:21:21.417864,"5.916666666666667 minutes elapsed, 143 pages scrapped"
moto-occasion,scrap annonces,started,2021-06-07 23:21:21.458611,
moto-occasion,scrap annonces,completed,2021-06-07 23:22:05.951836,"0.7333333333333333 minutes elapsed, 16 annonces scrapped"
moto-occasion,to dataframe,started,2021-06-07 23:22:05.956597,
moto-occasion,to dataframe,completed,2021-06-07 23:22:53.236002,0.7833333333333333 minutes elapsed
moto-selection,scrap pages,completed,2021-06-07 23:29:40.964901,"13.983333333333333 minutes elapsed, 241 pages scrapped"
moto-selection,scrap annonces,started,2021-06-07 23:29:41.015215,
moto-selection,scrap annonces,completed,2021-06-07 23:38:21.343668,"8.666666666666666 minutes elapsed, 161 annonces scrapped"
moto-selection,to dataframe,started,2021-06-07 23:38:21.348209,
moto-selection,to dataframe,error,2021-06-07 23:48:17.488225,name 'page_number' is not defined
moto-occasion,scrap pages,started,2021-06-10 11:25:36.518853,
moto-selection,scrap pages,started,2021-06-10 11:25:51.214460,
