url,uniq_id,brand,bike_year,mileage,bike_type,price,model,engine_size,date_scrapped
https://www.motoplanete.com/occasion-moto/3037/125-DUKE/fiche.html,motoplanete-3037,tm,2020,547.0,Roadster,4390.0,k 125 duke 2020,125.0,2021/06/04 - 22h18
https://www.motoplanete.com/occasion-moto/41562/VERSYS-1000/fiche.html,motoplanete-41562,kawasaki,2019,11499.0,Trail,11990.0,versys 1000 2019,1000.0,2021/06/04 - 22h18
https://www.motoplanete.com/occasion-moto/41203/VERSYS-650/fiche.html,motoplanete-41203,kawasaki,2017,21779.0,Trail,8490.0,versys 650 2017,650.0,2021/06/04 - 22h18
https://www.motoplanete.com/occasion-moto/41764/MT-03-300/fiche.html,motoplanete-41764,yamaha,2019,12500.0,Roadster,4290.0,mt-03 300 2019,320.0,2021/06/04 - 22h18
https://www.motoplanete.com/occasion-moto/41648/VERSYS-1000/fiche.html,motoplanete-41648,kawasaki,2019,12003.0,Trail,14590.0,versys 1000 2019,1000.0,2021/06/04 - 22h18
https://www.motoplanete.com/occasion-moto/34223/PAN-EUROPEAN/fiche.html,motoplanete-34223,honda,2017,23420.0,Routière & GT,9990.0,pan-european 2017,1300.0,2021/06/04 - 22h18
https://www.motoplanete.com/occasion-moto/41781/MT-07-475CV/fiche.html,motoplanete-41781,yamaha,2018,5105.0,Roadster,7290.0,mt-07 (47.5cv) 2018,695.0,2021/06/04 - 22h18
https://www.motoplanete.com/occasion-moto/42326/STREET-TRIPLE-675/fiche.html,motoplanete-42326,triumph,2012,28200.0,Roadster,1800.0,street triple 675 2012,675.0,2021/06/04 - 22h18
https://www.motoplanete.com/occasion-moto/39815/Z-650/fiche.html,motoplanete-39815,kawasaki,2020,1686.0,Roadster,6299.0,z 650 2020,650.0,2021/06/04 - 22h18
https://www.motoplanete.com/occasion-moto/42188/F-800-S/fiche.html,motoplanete-42188,bmw,2007,41000.0,Routière & GT,4290.0,f 800 s 2007,800.0,2021/06/04 - 22h18
https://www.motoplanete.com/occasion-moto/40362/K-1600-GTL/fiche.html,motoplanete-40362,bmw,2018,32788.0,Routière & GT,18890.0,k 1600 gtl 2018,1600.0,2021/06/04 - 22h18
https://www.motoplanete.com/occasion-moto/40956/VERSYS-1000/fiche.html,motoplanete-40956,kawasaki,2021,500.0,Trail,13590.0,versys 1000 2021,1000.0,2021/06/04 - 22h18
https://www.motoplanete.com/occasion-moto/23715/GSR/fiche.html,motoplanete-23715,suzuki,2010,30130.0,Roadster,3300.0,gsr 2010,600.0,2021/06/04 - 22h18
https://www.motoplanete.com/occasion-moto/42080/MT-07-TRACER/fiche.html,motoplanete-42080,yamaha,2016,19395.0,Roadster,6990.0,mt-07 tracer 2016,689.0,2021/06/04 - 22h18
https://www.motoplanete.com/occasion-moto/30709/BRUTALE-800-RC/fiche.html,motoplanete-30709,mv-agusta,2020,2600.0,Roadster,18490.0,brutale 800 rc 2020,800.0,2021/06/04 - 22h18
